gm,game_date,home_away,opp,result,r,ra,record,rank,gb,time,time_minutes,day_night,attendance,year,wins,losses,win_pct,game_day
81,2003-07-01,home,HOU,L,5,6,33-48,6,-9.5,3:20:00,200,N,23407,2003,33,48,0.41,Tuesday
80,2003-06-29,home,MIN,L,4,5,33-47,6,-10.0,3:21:00,201,D,23357,2003,33,47,0.41,Sunday
79,2003-06-28,home,MIN,L,2,5,33-46,6,-9.0,2:54:00,174,N,27271,2003,33,46,0.42,Saturday
78,2003-06-27,home,MIN,W,13,1,33-45,6,-8.0,2:42:00,162,N,24413,2003,33,45,0.42,Friday
77,2003-06-26,home,CHC,W,5,3,32-45,6,-9.0,2:34:00,154,D,39711,2003,32,45,0.42,Thursday
76,2003-06-25,home,CHC,W,12,6,31-45,6,-10.0,3:31:00,211,D,38357,2003,31,45,0.41,Wednesday
75,2003-06-24,home,CHC,L,1,9,30-45,6,-11.0,2:55:00,175,N,40389,2003,30,45,0.4,Tuesday
74,2003-06-22,home,MIN,L,3,8,30-44,6,-10.5,2:48:00,168,D,25320,2003,30,44,0.41,Sunday
73,2003-06-21,home,MIN,W,8,1,30-43,6,-9.5,2:34:00,154,N,30836,2003,30,43,0.41,Saturday
72,2003-06-20,home,MIN,W,3,2,29-43,6,-10.0,2:53:00,173,N,25175,2003,29,43,0.4,Friday
71,2003-06-19,home,STL,L,4,8,28-43,6,-11.0,2:35:00,155,D,20776,2003,28,43,0.39,Thursday
70,2003-06-18,home,STL,L,1,9,28-42,6,-11.0,3:05:00,185,N,17495,2003,28,42,0.4,Wednesday
69,2003-06-17,home,STL,L,3,12,28-41,6,-10.0,3:03:00,183,N,16659,2003,28,41,0.41,Tuesday
68,2003-06-16,home,STL,W,9,4,28-40,5,-10.0,3:11:00,191,N,24951,2003,28,40,0.41,Monday
67,2003-06-15,home,BAL,L,4,5,27-40,6,-10.0,2:54:00,174,D,36109,2003,27,40,0.4,Sunday
66,2003-06-14,home,BAL,W,8,3,27-39,5,-10.0,2:45:00,165,N,28290,2003,27,39,0.41,Saturday
65,2003-06-13,home,BAL,L,2,7,26-39,5,-10.0,2:51:00,171,N,28085,2003,26,39,0.4,Friday
64,2003-06-12,home,FLA,W,6,5,26-38,5,-10.0,2:30:00,150,D,13075,2003,26,38,0.41,Thursday
63,2003-06-11,home,FLA,L,5,6,25-38,6,-11.0,3:06:00,186,N,12419,2003,25,38,0.4,Wednesday
62,2003-06-10,home,FLA,L,4,12,25-37,6,-10.0,2:51:00,171,N,11598,2003,25,37,0.4,Tuesday
61,2003-06-08,home,BOS,L,1,9,25-36,6,-10.0,2:12:00,132,D,20784,2003,25,36,0.41,Sunday
60,2003-06-07,home,BOS,L,10,11,25-35,6,-9.0,3:22:00,202,N,34242,2003,25,35,0.42,Saturday
59,2003-06-06,home,BOS,W,9,3,25-34,6,-8.0,2:53:00,173,N,20195,2003,25,34,0.42,Friday
57,2003-06-05,home,NYM,W,8,7,23-34,6,-8.0,2:46:00,166,D,0,2003,23,34,0.4,Thursday
58,2003-06-05,home,NYM,W,5,3,24-34,6,-8.0,2:52:00,172,N,19048,2003,24,34,0.41,Thursday
56,2003-06-01,home,LAD,W,4,3,22-34,6,-8.5,3:10:00,190,D,35611,2003,22,34,0.39,Sunday
55,2003-05-31,home,LAD,L,0,3,21-34,6,-9.5,2:17:00,137,N,35520,2003,21,34,0.38,Saturday
54,2003-05-30,home,LAD,W,5,3,21-33,6,-8.5,2:12:00,132,N,32452,2003,21,33,0.39,Friday
53,2003-05-29,home,SDP,W,3,2,20-33,6,-9.5,2:49:00,169,D,13192,2003,20,33,0.38,Thursday
52,2003-05-28,home,SDP,L,6,8,19-33,6,-10.0,3:08:00,188,N,12373,2003,19,33,0.37,Wednesday
51,2003-05-27,home,SDP,W,4,2,19-32,6,-9.0,2:37:00,157,N,13404,2003,19,32,0.37,Tuesday
50,2003-05-25,home,LAD,L,1,5,18-32,6,-10.5,2:11:00,131,D,22354,2003,18,32,0.36,Sunday
49,2003-05-24,home,LAD,L,0,6,18-31,6,-9.5,2:28:00,148,N,20615,2003,18,31,0.37,Saturday
48,2003-05-23,home,LAD,L,4,6,18-30,6,-8.5,2:37:00,157,N,14859,2003,18,30,0.38,Friday
47,2003-05-21,home,SDP,W,10,0,18-29,6,-8.0,2:37:00,157,D,18138,2003,18,29,0.38,Wednesday
46,2003-05-20,home,SDP,W,8,7,17-29,6,-9.0,3:08:00,188,N,11720,2003,17,29,0.37,Tuesday
45,2003-05-19,home,SDP,W,6,5,16-29,6,-9.5,2:39:00,159,N,10136,2003,16,29,0.36,Monday
44,2003-05-18,home,CIN,L,3,6,15-29,6,-10.5,2:48:00,168,D,14703,2003,15,29,0.34,Sunday
43,2003-05-17,home,CIN,W,8,6,15-28,6,-10.5,3:07:00,187,D,16482,2003,15,28,0.35,Saturday
42,2003-05-16,home,CIN,W,12,3,14-28,6,-10.5,2:51:00,171,N,13376,2003,14,28,0.33,Friday
41,2003-05-15,home,CHC,L,2,4,13-28,6,-11.5,4:42:00,282,D,31624,2003,13,28,0.32,Thursday
40,2003-05-14,home,CHC,L,1,6,13-27,6,-10.5,2:17:00,137,N,27566,2003,13,27,0.32,Wednesday
39,2003-05-13,home,CHC,L,2,7,13-26,6,-9.5,2:37:00,157,N,18454,2003,13,26,0.33,Tuesday
38,2003-05-12,home,CHC,L,5,11,13-25,6,-8.5,3:23:00,203,N,19106,2003,13,25,0.34,Monday
37,2003-05-11,home,CIN,L,5,7,13-24,6,-7.5,2:35:00,155,D,24804,2003,13,24,0.35,Sunday
36,2003-05-10,home,CIN,W,9,3,13-23,6,-7.0,3:30:00,210,N,32554,2003,13,23,0.36,Saturday
35,2003-05-09,home,CIN,L,6,7,12-23,6,-7.0,2:54:00,174,N,26320,2003,12,23,0.34,Friday
34,2003-05-07,home,CHC,L,1,2,12-22,6,-7.0,2:20:00,140,D,37574,2003,12,22,0.35,Wednesday
33,2003-05-06,home,CHC,W,9,6,12-21,6,-6.0,3:23:00,203,N,34240,2003,12,21,0.36,Tuesday
32,2003-05-05,home,CHC,W,5,3,11-21,6,-7.0,2:42:00,162,N,35304,2003,11,21,0.34,Monday
31,2003-05-04,home,NYM,L,3,5,10-21,6,-8.0,2:50:00,170,D,18571,2003,10,21,0.32,Sunday
30,2003-05-03,home,NYM,W,3,2,10-20,6,-7.0,2:32:00,152,N,19796,2003,10,20,0.33,Saturday
29,2003-05-02,home,NYM,L,3,9,9-20,6,-8.0,2:31:00,151,N,16315,2003,9,20,0.31,Friday
28,2003-05-01,home,MON,L,0,5,9-19,6,-7.0,2:15:00,135,D,13180,2003,9,19,0.32,Thursday
27,2003-04-30,home,MON,L,5,9,9-18,6,-6.0,2:32:00,152,N,10945,2003,9,18,0.33,Wednesday
26,2003-04-29,home,MON,L,2,3,9-17,6,-6.0,2:37:00,157,N,10044,2003,9,17,0.35,Tuesday
25,2003-04-27,home,ATL,L,1,7,9-16,6,-5.0,2:57:00,177,D,26349,2003,9,16,0.36,Sunday
24,2003-04-26,home,ATL,L,2,3,9-15,5,-5.0,2:52:00,172,N,27313,2003,9,15,0.38,Saturday
23,2003-04-25,home,ATL,W,12,5,9-14,5,-5.0,2:21:00,141,N,21938,2003,9,14,0.39,Friday
22,2003-04-24,home,FLA,L,2,4,8-14,5,-5.0,2:13:00,133,N,9069,2003,8,14,0.36,Thursday
21,2003-04-23,home,FLA,L,4,5,8-13,5,-5.0,3:21:00,201,N,9182,2003,8,13,0.38,Wednesday
20,2003-04-22,home,FLA,L,2,4,8-12,5,-5.0,2:52:00,172,N,10115,2003,8,12,0.4,Tuesday
19,2003-04-20,home,HOU,W,5,4,8-11,5,-4.0,2:37:00,157,D,10125,2003,8,11,0.42,Sunday
18,2003-04-19,home,HOU,W,3,2,7-11,5,-5.0,4:04:00,244,D,19239,2003,7,11,0.39,Saturday
17,2003-04-18,home,HOU,L,5,11,6-11,5,-5.0,3:12:00,192,N,14867,2003,6,11,0.35,Friday
16,2003-04-17,home,HOU,W,4,2,6-10,5,-4.0,2:33:00,153,N,11022,2003,6,10,0.38,Thursday
15,2003-04-16,home,STL,L,2,15,5-10,5,-4.0,2:48:00,168,D,12387,2003,5,10,0.33,Wednesday
14,2003-04-15,home,STL,W,6,1,5-9,5,-3.0,2:16:00,136,N,12149,2003,5,9,0.36,Tuesday
13,2003-04-14,home,STL,L,5,7,4-9,6,-3.5,3:21:00,201,N,10684,2003,4,9,0.31,Monday
12,2003-04-13,home,ARI,L,3,9,4-8,5,-3.5,2:41:00,161,D,34416,2003,4,8,0.33,Sunday
11,2003-04-12,home,ARI,W,3,2,4-7,5,-3.5,3:06:00,186,N,36835,2003,4,7,0.36,Saturday
10,2003-04-11,home,ARI,W,11,7,3-7,6,-4.5,2:46:00,166,N,31958,2003,3,7,0.3,Friday
9,2003-04-10,home,PIT,L,1,3,2-7,6,-4.5,2:13:00,133,D,10384,2003,2,7,0.22,Thursday
8,2003-04-09,home,PIT,W,3,2,2-6,6,-3.5,2:16:00,136,N,23332,2003,2,6,0.25,Wednesday
7,2003-04-08,home,PIT,W,5,3,1-6,6,-4.0,2:49:00,169,D,36003,2003,1,6,0.14,Tuesday
6,2003-04-06,home,SFG,L,0,5,0-6,6,-5.0,2:35:00,155,D,16101,2003,0,6,0.0,Sunday
5,2003-04-05,home,SFG,L,5,6,0-5,6,-4.0,2:52:00,172,D,16255,2003,0,5,0.0,Saturday
4,2003-04-04,home,SFG,L,5,7,0-4,6,-4.0,3:15:00,195,D,42570,2003,0,4,0.0,Friday
3,2003-04-03,home,STL,L,4,6,0-3,5,-3.0,2:51:00,171,D,26952,2003,0,3,0.0,Thursday
2,2003-04-02,home,STL,L,0,7,0-2,5,-2.0,2:42:00,162,N,26790,2003,0,2,0.0,Wednesday
1,2003-03-31,home,STL,L,9,11,0-1,5,-1.0,3:03:00,183,D,49561,2003,0,1,0.0,Monday
162,2002-09-29,home,STL,L,0,4,56-106,6,-41.0,2:41:00,161,D,40250,2002,56,106,0.35,Sunday
161,2002-09-28,home,STL,L,1,3,56-105,6,-40.0,2:34:00,154,D,35906,2002,56,105,0.35,Saturday
160,2002-09-27,home,STL,W,2,1,56-104,6,-39.0,2:35:00,155,N,32186,2002,56,104,0.35,Friday
159,2002-09-26,home,STL,L,1,9,55-104,6,-40.0,2:29:00,149,N,27299,2002,55,104,0.35,Thursday
158,2002-09-25,home,HOU,L,5,7,55-103,6,-39.0,3:16:00,196,N,27602,2002,55,103,0.35,Wednesday
157,2002-09-24,home,HOU,W,3,1,55-102,6,-38.0,2:39:00,159,N,30468,2002,55,102,0.35,Tuesday
156,2002-09-23,home,HOU,L,6,8,54-102,6,-38.0,2:50:00,170,N,23742,2002,54,102,0.35,Monday
155,2002-09-22,home,SFG,L,1,3,54-101,6,-37.0,2:36:00,156,D,34856,2002,54,101,0.35,Sunday
154,2002-09-21,home,SFG,L,1,3,54-100,6,-36.0,2:46:00,166,N,28119,2002,54,100,0.35,Saturday
153,2002-09-20,home,SFG,L,1,5,54-99,6,-36.0,3:23:00,203,N,29271,2002,54,99,0.35,Friday
152,2002-09-19,home,HOU,W,5,4,54-98,6,-35.0,2:38:00,158,D,14768,2002,54,98,0.36,Thursday
151,2002-09-18,home,HOU,L,1,3,53-98,6,-35.0,3:01:00,181,N,16349,2002,53,98,0.35,Wednesday
150,2002-09-17,home,HOU,W,5,4,53-97,6,-34.0,2:39:00,159,N,15412,2002,53,97,0.35,Tuesday
149,2002-09-15,home,ARI,L,5,6,52-97,6,-34.0,4:19:00,259,D,39442,2002,52,97,0.35,Sunday
148,2002-09-14,home,ARI,L,0,5,52-96,6,-34.0,2:36:00,156,D,39022,2002,52,96,0.35,Saturday
147,2002-09-13,home,ARI,W,8,4,52-95,6,-33.0,2:34:00,154,N,35380,2002,52,95,0.35,Friday
146,2002-09-11,home,STL,L,3,4,51-95,6,-33.5,3:10:00,190,N,16907,2002,51,95,0.35,Wednesday
145,2002-09-10,home,STL,L,3,8,51-94,6,-32.5,3:08:00,188,N,17539,2002,51,94,0.35,Tuesday
144,2002-09-09,home,STL,L,0,3,51-93,6,-31.5,2:39:00,159,N,16351,2002,51,93,0.35,Monday
143,2002-09-08,home,CIN,L,4,5,51-92,6,-30.5,2:58:00,178,D,28388,2002,51,92,0.36,Sunday
142,2002-09-07,home,CIN,W,9,6,51-91,6,-29.5,3:01:00,181,N,20053,2002,51,91,0.36,Saturday
141,2002-09-06,home,CIN,L,3,5,50-91,6,-29.5,3:48:00,228,N,24650,2002,50,91,0.35,Friday
140,2002-09-04,home,CHC,L,0,3,50-90,6,-28.5,2:36:00,156,D,21629,2002,50,90,0.36,Wednesday
139,2002-09-03,home,CHC,L,1,10,50-89,6,-27.5,3:04:00,184,N,30020,2002,50,89,0.36,Tuesday
138,2002-09-02,home,CHC,L,4,17,50-88,6,-26.5,2:52:00,172,D,36797,2002,50,88,0.36,Monday
137,2002-09-02,home,CHC,W,4,2,50-87,6,-26.5,3:13:00,193,D,0,2002,50,87,0.36,Monday
136,2002-09-01,home,CIN,W,4,2,49-87,6,-27.0,2:53:00,173,D,20194,2002,49,87,0.36,Sunday
135,2002-08-31,home,CIN,W,11,2,48-87,6,-28.0,2:52:00,172,N,21288,2002,48,87,0.36,Saturday
134,2002-08-30,home,CIN,W,9,4,47-87,6,-27.5,2:50:00,170,N,16218,2002,47,87,0.35,Friday
133,2002-08-29,home,CHC,L,10,13,46-87,6,-27.5,3:40:00,220,D,29324,2002,46,87,0.35,Thursday
132,2002-08-28,home,CHC,W,5,1,46-86,6,-27.5,2:37:00,157,N,24385,2002,46,86,0.35,Wednesday
131,2002-08-27,home,CHC,L,2,6,45-86,6,-27.5,3:12:00,192,N,24231,2002,45,86,0.34,Tuesday
130,2002-08-26,home,CHC,W,2,1,45-85,6,-27.0,2:15:00,135,N,27254,2002,45,85,0.35,Monday
129,2002-08-25,home,PIT,L,2,3,44-85,6,-27.5,2:44:00,164,D,19443,2002,44,85,0.34,Sunday
128,2002-08-24,home,PIT,L,10,17,44-84,6,-27.5,3:22:00,202,N,22568,2002,44,84,0.34,Saturday
127,2002-08-23,home,PIT,L,3,6,44-83,6,-27.5,3:04:00,184,N,30957,2002,44,83,0.35,Friday
126,2002-08-22,home,PHI,L,0,7,44-82,6,-27.5,2:43:00,163,D,18150,2002,44,82,0.35,Thursday
125,2002-08-21,home,PHI,L,3,13,44-81,6,-26.5,2:50:00,170,N,21250,2002,44,81,0.35,Wednesday
124,2002-08-20,home,PHI,W,2,1,44-80,6,-25.5,3:01:00,181,N,24082,2002,44,80,0.35,Tuesday
123,2002-08-18,home,PIT,L,2,3,43-80,6,-26.0,2:39:00,159,D,20170,2002,43,80,0.35,Sunday
122,2002-08-17,home,PIT,L,0,5,43-79,6,-25.0,2:41:00,161,N,25277,2002,43,79,0.35,Saturday
121,2002-08-16,home,PIT,W,10,3,43-78,6,-24.0,2:45:00,165,N,35343,2002,43,78,0.36,Friday
120,2002-08-15,home,PHI,L,0,5,42-78,6,-25.0,2:27:00,147,N,14288,2002,42,78,0.35,Thursday
119,2002-08-14,home,PHI,L,1,4,42-77,6,-24.0,2:09:00,129,N,14509,2002,42,77,0.35,Wednesday
118,2002-08-13,home,PHI,L,1,3,42-76,6,-23.0,2:28:00,148,N,14046,2002,42,76,0.36,Tuesday
117,2002-08-11,home,MON,W,6,2,42-75,6,-21.5,2:17:00,137,D,30153,2002,42,75,0.36,Sunday
116,2002-08-10,home,MON,W,5,2,41-75,6,-21.5,3:00:00,180,N,24954,2002,41,75,0.35,Saturday
115,2002-08-09,home,MON,L,4,11,40-75,6,-21.5,2:59:00,179,N,25919,2002,40,75,0.35,Friday
114,2002-08-08,home,NYM,L,0,9,40-74,6,-21.5,2:56:00,176,D,35042,2002,40,74,0.35,Thursday
113,2002-08-07,home,NYM,W,6,2,40-73,6,-20.5,2:35:00,155,N,30095,2002,40,73,0.35,Wednesday
112,2002-08-06,home,NYM,L,1,5,39-73,6,-21.5,2:20:00,140,N,26995,2002,39,73,0.35,Tuesday
111,2002-08-04,home,FLA,L,2,7,39-72,6,-21.5,2:40:00,160,D,6630,2002,39,72,0.35,Sunday
110,2002-08-03,home,FLA,L,7,11,39-71,6,-21.5,3:18:00,198,N,8904,2002,39,71,0.35,Saturday
109,2002-08-02,home,FLA,W,1,0,39-70,6,-21.5,2:55:00,175,N,5167,2002,39,70,0.36,Friday
108,2002-08-01,home,ATL,L,0,4,38-70,6,-22.5,2:23:00,143,N,29168,2002,38,70,0.35,Thursday
107,2002-07-31,home,ATL,L,1,9,38-69,6,-22.5,2:47:00,167,N,25874,2002,38,69,0.36,Wednesday
106,2002-07-30,home,ATL,L,2,3,38-68,6,-22.5,2:45:00,165,N,30802,2002,38,68,0.36,Tuesday
105,2002-07-28,home,COL,W,5,3,38-67,6,-21.5,2:54:00,174,D,26535,2002,38,67,0.36,Sunday
104,2002-07-27,home,COL,W,6,5,37-67,6,-21.5,3:18:00,198,N,33497,2002,37,67,0.36,Saturday
103,2002-07-26,home,COL,W,10,3,36-67,6,-22.5,3:07:00,187,N,29270,2002,36,67,0.35,Friday
102,2002-07-24,home,HOU,W,12,8,35-67,6,-22.0,3:14:00,194,N,26755,2002,35,67,0.34,Wednesday
101,2002-07-23,home,HOU,L,4,7,34-67,6,-23.0,2:42:00,162,N,25750,2002,34,67,0.34,Tuesday
100,2002-07-22,home,HOU,L,1,3,34-66,6,-22.0,2:25:00,145,N,27515,2002,34,66,0.34,Monday
99,2002-07-21,home,COL,L,4,6,34-65,6,-21.0,2:57:00,177,D,31597,2002,34,65,0.34,Sunday
98,2002-07-20,home,COL,L,5,6,34-64,6,-20.0,2:48:00,168,N,37009,2002,34,64,0.35,Saturday
97,2002-07-19,home,COL,L,5,9,34-63,6,-20.0,3:14:00,194,N,34347,2002,34,63,0.35,Friday
96,2002-07-18,home,HOU,L,2,4,34-62,6,-20.0,2:37:00,157,D,30149,2002,34,62,0.35,Thursday
95,2002-07-17,home,HOU,L,3,7,34-61,6,-19.0,2:36:00,156,N,20155,2002,34,61,0.36,Wednesday
94,2002-07-16,home,CIN,L,1,6,34-60,6,-19.0,3:03:00,183,N,20069,2002,34,60,0.36,Tuesday
93,2002-07-15,home,CIN,L,0,2,34-59,6,-18.0,2:25:00,145,N,22621,2002,34,59,0.37,Monday
92,2002-07-14,home,PIT,W,5,3,34-58,6,-17.0,2:45:00,165,D,21976,2002,34,58,0.37,Sunday
91,2002-07-13,home,PIT,L,3,5,33-58,6,-17.0,2:58:00,178,N,28214,2002,33,58,0.36,Saturday
90,2002-07-12,home,PIT,L,2,9,33-57,6,-16.0,3:04:00,184,N,26362,2002,33,57,0.37,Friday
89,2002-07-11,home,PIT,L,2,3,33-56,6,-16.0,2:46:00,166,N,21021,2002,33,56,0.37,Thursday
88,2002-07-07,home,CIN,W,7,4,33-55,6,-15.5,3:03:00,183,D,19778,2002,33,55,0.38,Sunday
87,2002-07-06,home,CIN,L,4,6,32-55,6,-15.5,3:02:00,182,N,26165,2002,32,55,0.37,Saturday
86,2002-07-05,home,CIN,L,6,8,32-54,6,-15.5,2:37:00,157,N,23369,2002,32,54,0.37,Friday
85,2002-07-04,home,CIN,W,5,4,32-53,6,-15.5,3:07:00,187,D,16662,2002,32,53,0.38,Thursday
84,2002-07-03,home,PIT,L,1,3,31-53,6,-15.5,2:22:00,142,N,32309,2002,31,53,0.37,Wednesday
83,2002-07-02,home,PIT,W,12,6,31-52,6,-14.5,3:05:00,185,N,15142,2002,31,52,0.37,Tuesday
82,2002-07-01,home,PIT,W,2,0,30-52,6,-14.5,2:31:00,151,N,14634,2002,30,52,0.37,Monday
81,2002-06-30,home,MIN,L,3,4,29-52,6,-14.5,2:45:00,165,D,33193,2002,29,52,0.36,Sunday
80,2002-06-29,home,MIN,W,10,2,29-51,6,-14.5,2:47:00,167,N,30125,2002,29,51,0.36,Saturday
79,2002-06-28,home,MIN,L,1,5,28-51,6,-15.5,2:25:00,145,N,25409,2002,28,51,0.35,Friday
78,2002-06-27,home,STL,W,7,2,28-50,6,-14.5,3:29:00,209,N,31136,2002,28,50,0.36,Thursday
77,2002-06-26,home,STL,L,2,5,27-50,6,-15.5,2:30:00,150,N,32686,2002,27,50,0.35,Wednesday
76,2002-06-25,home,STL,W,2,0,27-49,6,-14.5,2:09:00,129,N,33074,2002,27,49,0.36,Tuesday
75,2002-06-23,home,ANA,L,2,5,26-49,6,-15.5,2:51:00,171,D,23751,2002,26,49,0.35,Sunday
74,2002-06-22,home,ANA,L,2,8,26-48,6,-15.5,3:27:00,207,N,28765,2002,26,48,0.35,Saturday
73,2002-06-21,home,ANA,L,4,11,26-47,6,-15.0,2:50:00,170,N,20289,2002,26,47,0.36,Friday
72,2002-06-20,home,HOU,L,3,9,26-46,6,-15.0,2:39:00,159,D,23278,2002,26,46,0.36,Thursday
71,2002-06-19,home,HOU,W,8,1,26-45,6,-15.0,2:54:00,174,N,24128,2002,26,45,0.37,Wednesday
70,2002-06-18,home,HOU,W,7,1,25-45,6,-15.0,2:15:00,135,N,17195,2002,25,45,0.36,Tuesday
69,2002-06-17,home,HOU,W,5,2,24-45,6,-15.0,2:57:00,177,N,25947,2002,24,45,0.35,Monday
68,2002-06-16,home,MIN,L,6,7,23-45,6,-15.5,2:54:00,174,D,31218,2002,23,45,0.34,Sunday
67,2002-06-15,home,MIN,L,2,5,23-44,6,-15.5,2:35:00,155,N,35832,2002,23,44,0.34,Saturday
66,2002-06-14,home,MIN,W,7,5,23-43,6,-14.5,3:01:00,181,N,25038,2002,23,43,0.35,Friday
65,2002-06-12,home,OAK,L,0,8,22-43,6,-14.5,2:21:00,141,D,20847,2002,22,43,0.34,Wednesday
64,2002-06-11,home,OAK,L,2,11,22-42,6,-14.5,2:41:00,161,N,11223,2002,22,42,0.34,Tuesday
63,2002-06-10,home,OAK,L,6,8,22-41,6,-13.5,3:15:00,195,N,10584,2002,22,41,0.35,Monday
62,2002-06-09,home,PIT,L,4,5,22-40,6,-13.5,2:45:00,165,D,24897,2002,22,40,0.35,Sunday
61,2002-06-08,home,PIT,L,8,9,22-39,6,-13.5,3:35:00,215,N,38244,2002,22,39,0.36,Saturday
60,2002-06-07,home,PIT,L,1,6,22-38,6,-12.5,2:22:00,142,N,27001,2002,22,38,0.37,Friday
59,2002-06-05,home,CHC,L,1,5,22-37,6,-12.0,3:17:00,197,N,24041,2002,22,37,0.37,Wednesday
58,2002-06-04,home,CHC,W,6,5,22-36,6,-11.5,3:31:00,211,N,25603,2002,22,36,0.38,Tuesday
57,2002-06-03,home,CHC,W,7,6,21-36,6,-12.5,2:44:00,164,N,28094,2002,21,36,0.37,Monday
56,2002-06-02,home,SDP,W,4,3,20-36,6,-13.0,2:35:00,155,D,19401,2002,20,36,0.36,Sunday
55,2002-06-01,home,SDP,W,4,3,19-36,6,-13.0,2:48:00,168,N,35944,2002,19,36,0.35,Saturday
54,2002-05-31,home,SDP,W,12,1,18-36,6,-14.0,2:43:00,163,N,56167,2002,18,36,0.33,Friday
53,2002-05-29,home,LAD,L,3,4,17-36,6,-14.5,2:37:00,157,D,26399,2002,17,36,0.32,Wednesday
52,2002-05-28,home,LAD,L,4,8,17-35,6,-13.5,2:49:00,169,N,22362,2002,17,35,0.33,Tuesday
51,2002-05-27,home,LAD,L,3,5,17-34,6,-12.5,3:07:00,187,D,32491,2002,17,34,0.33,Monday
50,2002-05-26,home,SDP,L,7,8,17-33,6,-12.0,2:58:00,178,D,27007,2002,17,33,0.34,Sunday
49,2002-05-25,home,SDP,W,2,0,17-32,6,-12.0,2:18:00,138,N,25658,2002,17,32,0.35,Saturday
48,2002-05-24,home,SDP,W,6,2,16-32,6,-12.0,2:40:00,160,N,18857,2002,16,32,0.33,Friday
47,2002-05-23,home,LAD,L,3,16,15-32,6,-13.0,3:09:00,189,D,26728,2002,15,32,0.32,Thursday
46,2002-05-22,home,LAD,L,0,1,15-31,6,-13.0,2:35:00,155,N,25954,2002,15,31,0.33,Wednesday
45,2002-05-21,home,LAD,W,8,6,15-30,6,-12.0,2:49:00,169,N,15209,2002,15,30,0.33,Tuesday
44,2002-05-19,home,CHC,L,4,5,14-30,6,-12.5,3:29:00,209,D,41424,2002,14,30,0.32,Sunday
43,2002-05-18,home,CHC,W,3,1,14-29,6,-12.5,2:48:00,168,N,42280,2002,14,29,0.33,Saturday
42,2002-05-17,home,CHC,W,6,2,13-29,6,-12.5,2:29:00,149,N,34622,2002,13,29,0.31,Friday
41,2002-05-16,home,CIN,L,1,2,12-29,6,-13.5,2:48:00,168,D,18456,2002,12,29,0.29,Thursday
40,2002-05-15,home,CIN,L,4,7,12-28,6,-12.5,3:05:00,185,N,15561,2002,12,28,0.3,Wednesday
39,2002-05-14,home,CIN,L,3,4,12-27,6,-11.5,2:53:00,173,N,15546,2002,12,27,0.31,Tuesday
38,2002-05-13,home,CIN,L,0,5,12-26,6,-10.5,2:58:00,178,N,14844,2002,12,26,0.32,Monday
37,2002-05-12,home,CHC,W,13,4,12-25,6,-9.5,2:31:00,151,D,35717,2002,12,25,0.32,Sunday
36,2002-05-10,home,CHC,W,6,4,11-25,6,-10.0,3:25:00,205,D,34005,2002,11,25,0.31,Friday
35,2002-05-09,home,CHC,W,9,4,10-25,6,-11.0,3:11:00,191,D,27738,2002,10,25,0.29,Thursday
34,2002-05-08,home,CIN,L,5,14,9-25,6,-11.5,3:10:00,190,N,15691,2002,9,25,0.26,Wednesday
33,2002-05-07,home,CIN,L,2,8,9-24,6,-10.5,2:45:00,165,N,16167,2002,9,24,0.27,Tuesday
32,2002-05-06,home,CIN,L,5,8,9-23,6,-9.5,3:11:00,191,N,12867,2002,9,23,0.28,Monday
31,2002-05-05,home,FLA,L,4,7,9-22,6,-8.5,3:05:00,185,D,21510,2002,9,22,0.29,Sunday
30,2002-05-04,home,FLA,W,6,4,9-21,6,-8.5,2:29:00,149,D,25569,2002,9,21,0.3,Saturday
29,2002-05-03,home,FLA,L,4,8,8-21,6,-9.5,3:07:00,187,N,20274,2002,8,21,0.28,Friday
28,2002-05-02,home,ATL,L,2,3,8-20,6,-9.5,3:05:00,185,D,18113,2002,8,20,0.29,Thursday
27,2002-05-01,home,ATL,L,1,3,8-19,6,-9.5,2:06:00,126,N,17084,2002,8,19,0.3,Wednesday
26,2002-04-30,home,ATL,W,4,3,8-18,6,-8.5,2:29:00,149,N,16067,2002,8,18,0.31,Tuesday
25,2002-04-28,home,NYM,L,6,9,7-18,6,-8.5,3:04:00,184,D,43169,2002,7,18,0.28,Sunday
24,2002-04-27,home,NYM,L,1,2,7-17,6,-8.5,2:14:00,134,D,35105,2002,7,17,0.29,Saturday
23,2002-04-26,home,NYM,L,0,1,7-16,6,-7.5,1:53:00,113,N,37957,2002,7,16,0.3,Friday
22,2002-04-25,home,MON,L,1,5,7-15,6,-7.0,2:40:00,160,N,3501,2002,7,15,0.32,Thursday
21,2002-04-24,home,MON,L,4,5,7-14,6,-6.0,4:04:00,244,N,5295,2002,7,14,0.33,Wednesday
20,2002-04-23,home,MON,L,4,5,7-13,5,-6.0,2:44:00,164,N,3561,2002,7,13,0.35,Tuesday
19,2002-04-21,home,STL,W,5,3,7-12,5,-6.0,2:58:00,178,D,24592,2002,7,12,0.37,Sunday
18,2002-04-20,home,STL,W,5,3,6-12,6,-6.0,3:04:00,184,D,30600,2002,6,12,0.33,Saturday
17,2002-04-19,home,STL,W,6,1,5-12,6,-6.0,2:38:00,158,N,23865,2002,5,12,0.29,Friday
16,2002-04-18,home,STL,W,7,5,4-12,6,-6.0,2:31:00,151,N,17717,2002,4,12,0.25,Thursday
